epoch,mode,epoch_time_sec,peak_allocated_mb,peak_reserved_mb,param_count_m,param_count_major_m,param_count_minor_m,train_loss,train_loss_x,train_loss_u,mask,mask_major,mask_minor,test_acc,test_acc_major,test_acc_minor,test_acc_ensemble,test_acc_final,macro_f1,macro_f1_major,macro_f1_minor,macro_f1_ensemble,macro_f1_final,pseudo_pred_js,pseudo_pred_l1,pseudo_agreement_rate,pseudo_accepted_js,pseudo_accepted_agreement_rate
21,fixmatch,137.13636207580566,1742.90283203125,2162.0,1.46761,,,0.3547510280041024,0.08941069247975975,0.26534033560892567,0.5633719556499273,,,68.1,,,,,67.26128458976746,,,,,,,,,
22,fixmatch,137.35944819450378,1742.90283203125,2162.0,1.46761,,,0.355801702971803,0.08320247802612357,0.27259922423399985,0.5778547266963869,,,68.68,,,,,67.92600154876709,,,,,,,,,
23,fixmatch,137.20216989517212,1742.90283203125,2162.0,1.46761,,,0.3404719175887294,0.06917624601783245,0.2712956712930463,0.5926252357894555,,,69.26,,,,,68.54716539382935,,,,,,,,,
24,fixmatch,137.48468661308289,1742.90283203125,2162.0,1.46761,,,0.3376955307612661,0.06252050510306617,0.2751750252500642,0.6061140042729676,,,69.38,,,,,68.66143345832825,,,,,,,,,
25,fixmatch,137.25283789634705,1742.90283203125,2162.0,1.46761,,,0.3355904535856098,0.05544850183082417,0.2801419520692434,0.6138305917847902,,,70.22,,,,,69.69975233078003,,,,,,,,,
26,fixmatch,137.2349591255188,1742.90283203125,2162.0,1.46761,,,0.33299313581665047,0.05962024163306978,0.2733728942112066,0.6198294754140079,,,70.86,,,,,70.38763165473938,,,,,,,,,
27,fixmatch,137.5005066394806,1742.90283203125,2162.0,1.46761,,,0.3307728406507522,0.054004520076887275,0.2767683214333374,0.6252267283853143,,,71.06,,,,,70.63565254211426,,,,,,,,,
28,fixmatch,137.358788728714,1742.90283203125,2162.0,1.46761,,,0.3155412322958,0.038870860327961054,0.2766703717643395,0.6438511718297377,,,71.39,,,,,70.97747921943665,,,,,,,,,
29,fixmatch,137.15662956237793,1742.90283203125,2162.0,1.46761,,,0.31451397252385505,0.039999426204303745,0.2745145463850349,0.6477574214804918,,,71.77,,,,,71.38827443122864,,,,,,,,,
30,fixmatch,137.3333261013031,1742.90283203125,2162.0,1.46761,,,0.3144510887796059,0.04130803123621263,0.27314305750769563,0.6492048277286813,,,72.14,,,,,71.79455161094666,,,,,,,,,
31,fixmatch,137.45048236846924,1742.90283203125,2162.0,1.46761,,,0.3160745553323068,0.043733072451686894,0.27234148283605464,0.6519165330100805,,,72.9,,,,,72.5927472114563,,,,,,,,,
32,fixmatch,137.2043797969818,1742.90283203125,2162.0,1.46761,,,0.3134377368114656,0.04171940473815994,0.27171833159809466,0.6529018135042861,,,72.65,,,,,72.27852940559387,,,,,,,,,
