epoch,model,class,pseudo_hist,accepted_hist,true_count,pseudo_acc,accepted_true_count,accepted_pseudo_acc
25,fixmatch,8,3930,2063,11470,0.33408892763731474,5693,0.36061830317934307
25,fixmatch,9,4667,2348,11508,0.3958985053875565,5596,0.41815582558970693
26,fixmatch,0,23471,15638,11387,0.9610959866514446,10060,0.9900596421471173
26,fixmatch,1,16762,13345,11461,0.9754820696274321,10799,0.9936105194925456
26,fixmatch,2,15855,8899,11426,0.8252231752144232,7844,0.9284803671596125
26,fixmatch,3,16198,8134,11439,0.7476177987586328,6376,0.8966436637390214
26,fixmatch,4,11017,6548,11477,0.7353838111004618,6695,0.8894697535474234
26,fixmatch,5,7419,4059,11543,0.5092263709607554,5754,0.6574556830031283
26,fixmatch,6,7859,4939,11409,0.622315715663073,5888,0.8131793478260869
26,fixmatch,7,7845,5415,11581,0.6184267334427079,6389,0.8286116763186727
26,fixmatch,8,3585,1713,11506,0.30505823048844083,5752,0.2958970792767733
26,fixmatch,9,4677,2397,11459,0.40038397765948164,5530,0.4316455696202532
27,fixmatch,0,23536,15725,11484,0.965168930686172,10181,0.9920440035359984
27,fixmatch,1,16955,13647,11512,0.9743745656706045,10879,0.9936575052854123
27,fixmatch,2,16439,9387,11490,0.8306353350739774,8113,0.9271539504498952
27,fixmatch,3,15989,8019,11497,0.7428024702096199,6397,0.8929185555729248
27,fixmatch,4,11075,6657,11487,0.7346565682945939,6779,0.8865614397403747
27,fixmatch,5,7172,4135,11454,0.5074209883010302,5774,0.6695531693799792
27,fixmatch,6,7298,4478,11465,0.5838639337112952,5662,0.7712822324267044
27,fixmatch,7,7692,5206,11385,0.613350900307422,6255,0.8127897681854517
27,fixmatch,8,3503,1701,11429,0.3009012162043923,5764,0.29406662040249826
27,fixmatch,9,5029,2751,11485,0.4282977797126687,5902,0.46391053880040667
28,fixmatch,0,23752,16237,11462,0.9664107485604606,10293,0.9926163412027592
28,fixmatch,1,17025,13727,11450,0.9765065502183407,10885,0.9932016536518145
28,fixmatch,2,15683,9445,11450,0.8354585152838427,8261,0.9295484808134609
28,fixmatch,3,16206,8336,11471,0.7550344346613198,6639,0.8910980569362856
28,fixmatch,4,11433,7187,11451,0.760981573661689,7251,0.8993242311405324
28,fixmatch,5,7515,4444,11471,0.5291604916746578,6107,0.676436875716391
28,fixmatch,6,7632,5002,11525,0.6130151843817787,6110,0.7977086743044189
28,fixmatch,7,7459,5282,11418,0.6106148187073043,6456,0.8039033457249071
28,fixmatch,8,3435,1771,11495,0.2937799043062201,6056,0.29111624834874505
28,fixmatch,9,4548,2411,11495,0.38903871248368854,5784,0.4151106500691563
29,fixmatch,0,22862,15491,11410,0.9650306748466257,10246,0.9898496974429045
29,fixmatch,1,17023,13649,11525,0.975531453362256,10916,0.9938622205936241
29,fixmatch,2,15891,9665,11503,0.8370859775710684,8281,0.9367226180412994
29,fixmatch,3,16179,8634,11512,0.7531271716469771,6722,0.8945254388574829
29,fixmatch,4,11198,7194,11467,0.7587860817999477,7306,0.8957021626060772
29,fixmatch,5,7137,4279,11455,0.504932343954605,6227,0.6393126706279108
29,fixmatch,6,7996,5260,11424,0.6390931372549019,6342,0.8103122043519394
29,fixmatch,7,7737,5580,11475,0.6249237472766884,6704,0.815483293556086
29,fixmatch,8,4077,2238,11434,0.349658912016792,5950,0.373781512605042
29,fixmatch,9,4588,2300,11483,0.3938866149960812,5596,0.41029306647605435
30,fixmatch,0,22968,15568,11503,0.9665304703120925,10329,0.9926420757091684
30,fixmatch,1,16194,13108,11401,0.9771949828962372,10804,0.9937060348019252
30,fixmatch,2,15557,9433,11459,0.8340169299240772,8301,0.9301289001325141
30,fixmatch,3,16412,8908,11395,0.7676173760421238,6902,0.9014778325123153
30,fixmatch,4,11309,7255,11478,0.7679909391880119,7293,0.90703414232826
30,fixmatch,5,7365,4434,11511,0.5195030840066024,6308,0.6551997463538364
30,fixmatch,6,7713,5105,11468,0.6212068364143705,6208,0.8020296391752577
30,fixmatch,7,7865,5586,11531,0.6283930274911109,6638,0.8220849653510094
30,fixmatch,8,4141,2232,11512,0.35258860319666435,5968,0.3723190348525469
30,fixmatch,9,5164,2827,11430,0.44514435695538057,5705,0.49447852760736194
31,fixmatch,0,23133,16065,11471,0.9649551041757476,10326,0.9934146813867907
31,fixmatch,1,16321,13203,11523,0.9770892996615465,10958,0.9936119729877715
31,fixmatch,2,15400,9243,11406,0.8335963527967736,8246,0.9280863448944943
31,fixmatch,3,16154,8738,11523,0.7656860192658161,6875,0.9032727272727272
31,fixmatch,4,11164,7086,11477,0.7630914001916878,7182,0.9030910609857978
31,fixmatch,5,7355,4357,11448,0.5222746331236897,6136,0.6632985658409387
31,fixmatch,6,8009,5256,11491,0.6399791140892873,6283,0.8152156613082923
31,fixmatch,7,7939,5733,11502,0.6373674143627195,6781,0.8299660816988644
31,fixmatch,8,3646,1799,11419,0.3132498467466503,5953,0.3010246934318831
31,fixmatch,9,5567,3287,11428,0.4790864543227161,6027,0.5438858470217355
32,fixmatch,0,23677,16501,11527,0.970243775483647,10431,0.9941520467836257
32,fixmatch,1,16860,13661,11435,0.9783121993878443,10910,0.9933088909257561
32,fixmatch,2,15800,9534,11499,0.8398991216627533,8393,0.9316096747289407
32,fixmatch,3,15882,8593,11396,0.7585995085995086,6794,0.896967912864292
32,fixmatch,4,11465,7293,11472,0.7724023709902371,7340,0.9035422343324251
32,fixmatch,5,7251,4291,11430,0.5167979002624672,6073,0.6579944014490368
32,fixmatch,6,7850,5251,11479,0.6325463890582803,6380,0.8054858934169279
32,fixmatch,7,7667,5363,11437,0.6218413919734196,6436,0.8146364201367309
32,fixmatch,8,3569,1828,11491,0.30580454268558,6228,0.2923892100192678
32,fixmatch,9,4667,2565,11522,0.398975872244402,5895,0.4339270568278202
33,fixmatch,0,23114,16188,11464,0.9685973482205164,10417,0.9944321781702985
33,fixmatch,1,16331,13473,11478,0.9753441366091654,10874,0.9935626264484091
33,fixmatch,2,15410,9467,11462,0.8440935264351771,8420,0.9321852731591449
33,fixmatch,3,15771,8600,11533,0.7720454348391572,7013,0.8983316697561671
33,fixmatch,4,11447,7654,11509,0.7859935702493701,7675,0.9143973941368079
33,fixmatch,5,7726,4773,11520,0.5505208333333333,6361,0.6991039144788556
33,fixmatch,6,8080,5419,11493,0.6481336465674759,6464,0.8143564356435643
33,fixmatch,7,7973,5953,11409,0.6463318432816197,6940,0.838328530259366
33,fixmatch,8,4042,2231,11413,0.34714798913519673,6277,0.35383144814401785
33,fixmatch,9,4794,2788,11407,0.4128166915052161,6105,0.45454545454545453
34,fixmatch,0,23260,16332,11435,0.9715784871010057,10423,0.9935719082797659
34,fixmatch,1,16428,13417,11464,0.9800244242847174,10967,0.9931613020880824
34,fixmatch,2,15467,9807,11504,0.8503129346314325,8671,0.9363395225464191
34,fixmatch,3,16273,9127,11478,0.7845443457048267,7178,0.9101421008637504
34,fixmatch,4,11338,7627,11390,0.7916593503072871,7695,0.9161793372319688
34,fixmatch,5,7217,4429,11476,0.5268386197281283,6304,0.6624365482233503
34,fixmatch,6,8069,5574,11397,0.655347898569799,6602,0.825961829748561
34,fixmatch,7,7970,5986,11525,0.6462472885032537,7012,0.837564175698802
34,fixmatch,8,3850,2074,11512,0.3293085476025017,6285,0.3287191726332538
34,fixmatch,9,4816,2546,11507,0.41287911705918134,5782,0.4392943618125216
35,fixmatch,0,22614,16213,11499,0.9726063135924863,10537,0.9944006833064439
35,fixmatch,1,15756,13121,11458,0.9784430092511782,10943,0.9938773645252673
35,fixmatch,2,15207,9888,11433,0.8523572115805126,8794,0.9342733682055947
35,fixmatch,3,15897,9188,11497,0.7841175958945812,7331,0.9035602237075433
35,fixmatch,4,11130,7798,11527,0.7892773488331742,7919,0.9116050006313928
35,fixmatch,5,7701,4955,11408,0.5602208976157083,6662,0.6915340738516962
35,fixmatch,6,8345,5930,11505,0.6775315080399826,6970,0.8360114777618365
35,fixmatch,7,8129,6242,11457,0.6628262197783015,7314,0.83893902105551
35,fixmatch,8,4135,2444,11444,0.35721775602936034,6529,0.37341093582478174
35,fixmatch,9,5774,3514,11460,0.49589877835951135,6294,0.5559262789958691
36,fixmatch,0,22749,16743,11489,0.9704935155366002,10606,0.993494248538563
36,fixmatch,1,15414,12917,11455,0.9800960279353994,10942,0.994882105647962
36,fixmatch,2,15519,10172,11476,0.8611885674451029,8975,0.9396100278551532
36,fixmatch,3,15990,9487,11398,0.7866292331988068,7428,0.9103392568659128
36,fixmatch,4,11078,7791,11457,0.7877280265339967,7992,0.9045295295295295
36,fixmatch,5,7627,4730,11529,0.552866684014225,6649,0.6755903143329824
