epoch,mode,epoch_time_sec,peak_allocated_mb,peak_reserved_mb,param_count_m,param_count_major_m,param_count_minor_m,train_loss,train_loss_x,train_loss_u,mask,mask_major,mask_minor,test_acc,test_acc_major,test_acc_minor,test_acc_ensemble,test_acc_final,macro_f1,macro_f1_major,macro_f1_minor,macro_f1_ensemble,macro_f1_final,pseudo_pred_js,pseudo_pred_l1,pseudo_agreement_rate,pseudo_accepted_js,pseudo_accepted_agreement_rate
1,dual_sampler_weighted_ce,229.84026741981506,3431.73828125,3862.0,2.93522,1.46761,1.46761,2.6283393350895494,2.6283393350895494,0.0,,0.0,0.0,,19.2,22.37,20.9,20.9,,10.862866789102554,17.185482382774353,12.435460090637207,12.435460090637207,0.29957908391952515,1.3378207683563232,0.20294189453125,0.0,0.0
2,dual_sampler_weighted_ce,231.84959721565247,3431.73828125,3862.0,2.93522,1.46761,1.46761,1.995823097648099,1.871385662117973,0.47864038369152695,,0.11453683540821658,0.17839705088408664,,21.9,27.7,23.83,23.83,,13.742640614509583,22.452349960803986,15.476831793785095,15.476831793785095,0.23030023276805878,1.187151312828064,0.2791660853794643,0.4173167943954468,0.6201456310679612
3,dual_sampler_weighted_ce,231.26859402656555,3431.73828125,3862.0,2.93522,1.46761,1.46761,1.8887648927047849,1.4530400437070057,0.5660423933295533,,0.19241769865038805,0.378548775363015,,29.21,38.33,35.0,35.0,,20.47751247882843,37.124794721603394,31.304484605789185,31.304484605789185,0.174004465341568,1.0416783094406128,0.35569545200892855,0.28361809253692627,0.7375886524822695
4,dual_sampler_weighted_ce,232.41691613197327,3431.73828125,3862.0,2.93522,1.46761,1.46761,2.0323416281025857,1.1031823258963414,0.9291593002853915,,0.33506558457156643,0.5833478924469091,,35.08,49.79,47.06,47.06,,26.17592215538025,50.01276731491089,45.9117591381073,45.9117591381073,0.14147710800170898,0.9560720324516296,0.4097813197544643,0.1706809550523758,0.7386363636363636
5,dual_sampler_weighted_ce,239.43780970573425,3431.73828125,3862.0,2.93522,1.46761,1.46761,2.1360964137129486,0.8625264629954472,1.2735699540935457,,0.5065743822488002,0.7448817992117256,,41.02,56.7,55.25,55.25,,33.9751660823822,57.51768350601196,55.6183397769928,55.6183397769928,0.1290348470211029,0.9152832627296448,0.44387381417410715,0.11344151198863983,0.6989535532015267
6,dual_sampler_weighted_ce,234.14072608947754,3431.73828125,3862.0,2.93522,1.46761,1.46761,2.0988963432610035,0.7058307633851655,1.3930655794683844,,0.596522765525151,0.8194057291839272,,49.65,61.48,61.33,61.33,,45.84248661994934,62.4081552028656,62.20090985298157,62.20090985298157,0.0911613255739212,0.7664969563484192,0.5151279994419643,0.06537660956382751,0.7354900575350762
7,dual_sampler_weighted_ce,237.37140464782715,3431.73828125,3862.0,2.93522,1.46761,1.46761,1.9757986159529537,0.584044131974224,1.3917544833384454,,0.6299438745481893,0.8294590906007215,,56.09,64.76,65.49,65.49,,54.12410497665405,65.53863286972046,66.23575091362,66.23575091362,0.07498353719711304,0.6972132921218872,0.5522635323660714,0.04934059828519821,0.7644223954642098
8,dual_sampler_weighted_ce,234.9862515926361,3431.73828125,3862.0,2.93522,1.46761,1.46761,1.8132266127504408,0.47442271196632646,1.338803900172934,,0.652274023857899,0.8383702246937901,,61.11,68.13,68.91,68.91,,60.3345513343811,68.79586577415466,69.58626508712769,69.58626508712769,0.05876106396317482,0.6132463812828064,0.5930524553571429,0.03523987531661987,0.796936877475099
9,dual_sampler_weighted_ce,236.2918620109558,3431.73828125,3862.0,2.93522,1.46761,1.46761,1.7388744265772402,0.4160713830788154,1.322803045855835,,0.6647513549542055,0.8433227941859514,,65.38,70.6,71.4,71.4,,65.2095377445221,71.10210657119751,71.92435264587402,71.92435264587402,0.0535665899515152,0.5817696452140808,0.6129411969866071,0.030583368614315987,0.8131791097090781
10,dual_sampler_weighted_ce,232.49077701568604,3431.73828125,3862.0,2.93522,1.46761,1.46761,1.613207645015791,0.34579553434741683,1.2674121080199257,,0.6791469340678304,0.8399920162046328,,68.73,72.7,73.33,73.33,,68.79039406776428,73.12091588973999,73.74029755592346,73.74029755592346,0.042789652943611145,0.5174211859703064,0.6475917271205357,0.02355680614709854,0.835565688230265
11,dual_sampler_weighted_ce,232.69034123420715,3431.73828125,3862.0,2.93522,1.46761,1.46761,1.5034980254713446,0.2809574673738098,1.222540556336753,,0.6909441603347659,0.8390677694696933,,70.84,74.33,75.34,75.34,,70.98992466926575,74.7026801109314,75.6898581981659,75.6898581981659,0.03863535821437836,0.4898158311843872,0.6696515764508929,0.0216942448168993,0.8523176679383446
12,dual_sampler_weighted_ce,232.20754289627075,3431.73828125,3862.0,2.93522,1.46761,1.46761,1.4309013113379478,0.24415833469538484,1.1867429758422077,,0.6968558501685038,0.8389892942504957,,72.39,76.06,76.65,76.65,,72.54513502120972,76.38835310935974,76.96586847305298,76.96586847305298,0.03498837724328041,0.459699422121048,0.6828700474330357,0.019225899130105972,0.8608802665966067
13,dual_sampler_weighted_ce,241.17046570777893,3431.73828125,3862.0,2.93522,1.46761,1.46761,1.3934830873040482,0.21943953060690546,1.174043555976823,,0.7047904210630804,0.8341762366471812,,73.62,77.21,77.66,77.66,,73.7733244895935,77.49873995780945,77.93154716491699,77.93154716491699,0.030564142391085625,0.4341517686843872,0.6960972377232143,0.017024455592036247,0.8673987063955476
14,dual_sampler_weighted_ce,230.9459319114685,3431.73828125,3862.0,2.93522,1.46761,1.46761,1.3163856925675645,0.1933467863491387,1.1230389069532976,,0.7084438101155683,0.8369053795468062,,75.12,78.31,78.86,78.86,,75.31012892723083,78.5729467868805,79.09796833992004,79.09796833992004,0.02839883789420128,0.4215087592601776,0.7088361467633929,0.015291720628738403,0.877038878903769
15,dual_sampler_weighted_ce,232.95272612571716,3431.73828125,3862.0,2.93522,1.46761,1.46761,1.2515667707193643,0.16195724546196288,1.089609525515698,,0.7150094492826611,0.8294852479593828,,75.87,79.26,79.73,79.73,,76.06726884841919,79.54155802726746,79.98331189155579,79.98331189155579,0.024534951895475388,0.3781563937664032,0.7277396065848214,0.013652405701577663,0.8900878866879888
16,dual_sampler_weighted_ce,234.34306955337524,3431.73828125,3862.0,2.93522,1.46761,1.46761,1.2223504302091897,0.1463077500811778,1.0760426770430058,,0.7171631189994514,0.8299648112151772,,76.69,80.18,80.29,80.29,,76.87177062034607,80.44425249099731,80.51487803459167,80.51487803459167,0.023911064490675926,0.3792027235031128,0.7307826450892857,0.013400144875049591,0.8888874042996673
17,dual_sampler_weighted_ce,232.3352348804474,3431.73828125,3862.0,2.93522,1.46761,1.46761,1.1934811380924657,0.14079241358558647,1.0526887216838077,,0.722106967237778,0.8331735169049352,,77.21,80.92,81.08,81.08,,77.41665840148926,81.17316961288452,81.30536079406738,81.30536079406738,0.02306799218058586,0.3668736517429352,0.73968505859375,0.012338152155280113,0.8966092494273723
18,dual_sampler_weighted_ce,232.01858067512512,3431.73828125,3862.0,2.93522,1.46761,1.46761,1.1708777219755575,0.12878108900076768,1.0420966350939125,,0.7254813401959836,0.8334612542530522,,77.93,81.26,81.72,81.72,,78.16218137741089,81.50913119316101,81.93672895431519,81.93672895431519,0.022719010710716248,0.361397922039032,0.7429373604910714,0.012088332325220108,0.8978663960675268
19,dual_sampler_weighted_ce,235.96793603897095,3431.73828125,3862.0,2.93522,1.46761,1.46761,1.1342045619385317,0.1073703690271941,1.026834194199182,,0.7271467276150361,0.833129920414649,,77.78,81.55,82.06,82.06,,78.0138909816742,81.80698156356812,82.27632641792297,82.27632641792297,0.02335014007985592,0.3671177327632904,0.7456229073660714,0.013112341053783894,0.902871298870719
20,dual_sampler_weighted_ce,233.58222007751465,3431.73828125,3862.0,2.93522,1.46761,1.46761,1.1021169625455514,0.10228249712235993,0.999834465328604,,0.7284546236041933,0.8315517262089998,,78.55,82.0,82.47,82.47,,78.8055419921875,82.21406936645508,82.66716003417969,82.66716003417969,0.0198084507137537,0.3427908420562744,0.7589460100446429,0.010527677834033966,0.9082649165925848
21,dual_sampler_weighted_ce,233.4816825389862,3431.73828125,3862.0,2.93522,1.46761,1.46761,1.0723372519714758,0.0983235996482108,0.9740136547479779,,0.7304164681117982,0.8259626487269998,,78.98,82.47,82.8,82.8,,79.22027111053467,82.68671035766602,82.98119306564331,82.98119306564331,0.018854286521673203,0.3277413845062256,0.7638288225446429,0.010754287242889404,0.9125848468170977
22,dual_sampler_weighted_ce,233.27173328399658,3431.73828125,3862.0,2.93522,1.46761,1.46761,1.0423609277931973,0.08734492476742162,0.9550160024082288,,0.7332153661409393,0.8277065097354352,,79.45,82.83,83.22,83.22,,79.6464741230011,83.02603960037231,83.37329626083374,83.37329626083374,0.017357077449560165,0.3213587999343872,0.7716151646205357,0.009852143935859203,0.9148814846493786
