epoch,model,class,pseudo_hist,accepted_hist,true_count,pseudo_acc,accepted_true_count,accepted_pseudo_acc
1,major,0,36937,0,11485,0.8075750979538528,0,0.0
1,major,1,24951,0,11446,0.761750829984274,0,0.0
1,major,2,27796,0,11443,0.4562614698942585,0,0.0
1,major,3,19172,0,11492,0.38618169161155586,0,0.0
1,major,4,4403,0,11469,0.10776876798325923,0,0.0
1,major,5,827,0,11501,0.025736892444135292,0,0.0
1,major,6,521,0,11499,0.020262631533176798,0,0.0
1,major,7,80,0,11427,0.0021878008226131093,0,0.0
1,major,8,1,0,11451,8.732861758798358e-05,0,0.0
1,major,9,0,0,11475,0.0,0,0.0
1,minor,0,8979,0,11485,0.3679582063561167,0,0.0
1,minor,1,9195,0,11446,0.40171238860737374,0,0.0
1,minor,2,6779,0,11443,0.18605260858166564,0,0.0
1,minor,3,7187,0,11492,0.16037243299686738,0,0.0
1,minor,4,10767,0,11469,0.30708867381637456,0,0.0
1,minor,5,14685,0,11501,0.42309364403095384,0,0.0
1,minor,6,14887,0,11499,0.4897817201495782,0,0.0
1,minor,7,12469,0,11427,0.44438610308917476,0,0.0
1,minor,8,15174,0,11451,0.5838791371932582,0,0.0
1,minor,9,14566,0,11475,0.5335947712418301,0,0.0
2,major,0,33372,5153,11491,0.8660690975546079,3340,0.9808383233532935
2,major,1,22409,7737,11479,0.8688910183813922,5481,0.993796752417442
2,major,2,24084,105,11531,0.5284016997658486,205,0.25365853658536586
2,major,3,18531,44,11419,0.450126981346878,91,0.32967032967032966
2,major,4,7342,12,11506,0.23318268729358596,101,0.09900990099009901
2,major,5,3417,8,11412,0.1366982124079916,39,0.10256410256410256
2,major,6,3706,60,11472,0.18627963737796374,83,0.6024096385542169
2,major,7,1655,17,11527,0.10080680142274659,81,0.18518518518518517
2,major,8,87,0,11432,0.004811056682995102,1646,0.0
2,major,9,85,0,11419,0.002977493650932656,2069,0.0
2,minor,0,8417,667,11491,0.43277347489339485,1338,0.40433482810164423
2,minor,1,11484,3431,11479,0.6285390713476784,3374,0.8346176644931832
