epoch,pred_js,pred_l1,pred_cosine,accepted_js,accepted_l1,accepted_cosine,agreement_rate,both_accepted_agreement_rate,major_only_accept_count,minor_only_accept_count,both_accept_count
16,0.023911064490675926,0.3792027235031128,0.9105127453804016,0.013400144875049591,0.2942139208316803,0.9506494402885437,0.7307826450892857,0.8888874042996673,7407,20344,74843
17,0.02306799218058586,0.3668736517429352,0.9136675596237183,0.012338152155280113,0.28075599670410156,0.9541968107223511,0.73968505859375,0.8966092494273723,7288,20026,75529
18,0.022719010710716248,0.361397922039032,0.9140589237213135,0.012088332325220108,0.2792370319366455,0.9549238085746765,0.7429373604910714,0.8978663960675268,7323,19707,75881
19,0.02335014007985592,0.3671177327632904,0.9123643040657043,0.013112341053783894,0.2821201682090759,0.9511517286300659,0.7456229073660714,0.902871298870719,7506,19661,75889
20,0.0198084507137537,0.3427908420562744,0.9245495200157166,0.010527677834033966,0.25371691584587097,0.9604803323745728,0.7589460100446429,0.9082649165925848,7053,18877,76492
21,0.018854286521673203,0.3277413845062256,0.9278228282928467,0.010754287242889404,0.2513875663280487,0.9607526659965515,0.7638288225446429,0.9125848468170977,7456,18414,76314
22,0.017357077449560165,0.3213587999343872,0.9339136481285095,0.009852143935859203,0.24383780360221863,0.9632876515388489,0.7716151646205357,0.9148814846493786,6928,17765,77163
23,0.014988068491220474,0.292428195476532,0.942288339138031,0.007970934733748436,0.22261622548103333,0.9701483249664307,0.7842058454241071,0.92262011876912,6969,17127,77798
24,0.016895435750484467,0.312936007976532,0.9350131154060364,0.00921139307320118,0.2376156449317932,0.9657478928565979,0.7783028738839286,0.9186764025299532,6798,17778,77788
25,0.01689911261200905,0.3084890842437744,0.9349096417427063,0.009243285283446312,0.2407468855381012,0.9655581712722778,0.779296875,0.9207772987581236,6987,17562,77705
26,0.015564865432679653,0.3041294813156128,0.939906656742096,0.00864346046000719,0.22943514585494995,0.967636227607727,0.7840924944196429,0.9221553807393696,6905,17154,77796
27,0.013919541612267494,0.2816162109375,0.9456371068954468,0.007665632758289576,0.21875672042369843,0.971265435218811,0.7973109654017857,0.9277440146161361,6677,16043,78817
28,0.014099896885454655,0.2846854329109192,0.9455371499061584,0.0077445292845368385,0.21658310294151306,0.9710374474525452,0.7956368582589286,0.9300552599263201,6829,16592,78176
29,0.01333504356443882,0.2782679796218872,0.948201060295105,0.0071202050894498825,0.21111471951007843,0.9731842875480652,0.8001185825892857,0.930723235708573,6530,16308,78771
30,0.012068664655089378,0.2628871202468872,0.9529021382331848,0.00623196829110384,0.19874167442321777,0.9764203429222107,0.8089250837053571,0.9349366355822353,6347,15677,79461
31,0.012211457826197147,0.2608293890953064,0.9521695971488953,0.006365681067109108,0.1917194426059723,0.9766000509262085,0.8118547712053571,0.9385878613591645,6383,15742,79284
32,0.012338479049503803,0.2618233859539032,0.9515785574913025,0.006556805223226547,0.19770339131355286,0.9755873680114746,0.8100062779017857,0.9366421738527658,6481,15601,79343
33,0.012245327234268188,0.2581787109375,0.9518608450889587,0.006319861393421888,0.19175784289836884,0.9764516353607178,0.8131801060267857,0.939051579448383,6373,15271,79838
34,0.010726310312747955,0.2436872124671936,0.9577205181121826,0.0058458298444747925,0.18820565938949585,0.9781795740127563,0.8228410993303571,0.9439528759874702,6311,14724,80129
35,0.0100051648914814,0.2351771742105484,0.9601643681526184,0.005185549147427082,0.17426316440105438,0.9807543754577637,0.82806396484375,0.9463227821431227,6050,14471,80686
36,0.01019248180091381,0.23753142356872559,0.959588885307312,0.005357816349714994,0.17851075530052185,0.9800169467926025,0.8307931082589286,0.946765382048303,5976,14291,80906
37,0.009508136659860611,0.2274170219898224,0.9620587825775146,0.005022074561566114,0.17012858390808105,0.9815118908882141,0.8364606584821429,0.9506509869802604,6032,13858,80954
38,0.009472760371863842,0.2293178290128708,0.9623035788536072,0.004638883285224438,0.16518409550189972,0.9825633764266968,0.8372802734375,0.951086087993411,5702,14030,81347
39,0.008997347205877304,0.2259695827960968,0.964576005935669,0.004556839819997549,0.1634700894355774,0.982811450958252,0.8416050502232143,0.9534326965574818,5625,13787,81452
40,0.007829472422599792,0.209315687417984,0.9688141942024231,0.003972995560616255,0.15294840931892395,0.9850412011146545,0.8514317103794643,0.9557615926313994,5404,13127,82078
41,0.008048471994698048,0.2047467827796936,0.9679487943649292,0.004186173900961876,0.15193873643875122,0.9844682812690735,0.8533848353794643,0.9600847021958921,5655,13062,81698
42,0.008118891157209873,0.2074497640132904,0.9675527215003967,0.004181613214313984,0.15497055649757385,0.9842731952667236,0.8521728515625,0.9577911000633621,5651,13066,82068
43,0.006628009490668774,0.18868578970432281,0.9733474254608154,0.0031515909358859062,0.13563911616802216,0.9882062673568726,0.8649727957589286,0.9631556709120541,5247,12255,82835
44,0.0074587538838386536,0.2008579820394516,0.970058023929596,0.0037610591389238834,0.1469917595386505,0.9859872460365295,0.8613194056919643,0.9629481298089759,5326,12661,82398
45,0.005686821416020393,0.1765485405921936,0.9772444367408752,0.0025573261082172394,0.11989257484674454,0.9903748631477356,0.8746250697544643,0.9678374490529849,4794,11851,83420
46,0.0058983368799090385,0.1784144639968872,0.9762173295021057,0.0026777200400829315,0.1240827888250351,0.9900362491607666,0.8733869280133929,0.9658841492508827,4848,11653,83832
47,0.0057484363205730915,0.1776123195886612,0.9767512083053589,0.002757778624072671,0.12573111057281494,0.9896782040596008,0.877685546875,0.9686561472088477,4827,11353,83908
48,0.005111205391585827,0.1699218899011612,0.9794838428497314,0.002299726475030184,0.11451894789934158,0.991341769695282,0.8822980608258929,0.9703198778712678,4491,11205,84501
49,0.004861487075686455,0.1633823812007904,0.9803014397621155,0.002263840986415744,0.11270545423030853,0.9914420247077942,0.8875558035714286,0.9721673273770782,4531,10802,84505
50,0.0046554552391171455,0.157331183552742,0.9811731576919556,0.0018953210674226284,0.10009190440177917,0.9928802251815796,0.8915579659598214,0.9752035921792318,4321,10869,84851
