ratio,method,group,recall,precision,f1
50,baseline,minority_5_9,72.35999908447266,94.49247674960058,81.80480651855468
50,baseline,tail_7_9,70.7999979654948,97.57019551687335,82.00828043619792
50,dual,minority_5_9,85.7,94.59918096251758,89.85562133789062
50,dual,tail_7_9,87.93333435058594,97.48742505576489,92.46047465006511
100,baseline,minority_5_9,63.220001220703125,94.97524844587656,75.12798843383788
100,baseline,tail_7_9,58.53333409627279,97.88049288405448,72.59984461466472
100,dual,minority_5_9,83.65999755859374,95.35750449465041,89.0103759765625
100,dual,tail_7_9,86.33333079020183,97.70274144183024,91.65779622395833
