epoch,model,class,pseudo_hist,accepted_hist,true_count,pseudo_acc,accepted_true_count,accepted_pseudo_acc
1,fixmatch,0,35984,1995,11496,0.8066283924843424,1210,0.9644628099173553
1,fixmatch,1,26089,1882,11412,0.7567472835611637,1289,0.9837083010085338
1,fixmatch,2,27654,0,11422,0.46664331990894764,73,0.0
1,fixmatch,3,18988,0,11458,0.39090591726304763,12,0.0
1,fixmatch,4,4217,0,11455,0.10938454823221301,17,0.0
1,fixmatch,5,1430,0,11511,0.044826687516288766,9,0.0
1,fixmatch,6,300,0,11523,0.01423240475570598,16,0.0
1,fixmatch,7,25,0,11484,0.00026123301985370953,11,0.0
1,fixmatch,8,1,0,11454,0.0,733,0.0
1,fixmatch,9,0,0,11473,0.0,507,0.0
2,fixmatch,0,33426,3602,11406,0.8663861125723303,2282,0.9842243645924628
2,fixmatch,1,23968,6374,11527,0.8778519996529887,4565,0.9960569550930997
2,fixmatch,2,24916,0,11532,0.5170828997571973,76,0.0
2,fixmatch,3,18584,0,11476,0.45120250958522135,23,0.0
2,fixmatch,4,7910,0,11506,0.23544237788979663,31,0.0
2,fixmatch,5,2698,0,11455,0.10615451767786993,14,0.0
2,fixmatch,6,2674,1,11412,0.13573431475639677,14,0.07142857142857142
2,fixmatch,7,504,0,11445,0.02996941896024465,29,0.0
2,fixmatch,8,4,0,11484,0.00026123301985370953,1282,0.0
2,fixmatch,9,4,0,11445,0.00017474879860200962,1661,0.0
3,fixmatch,0,31452,5406,11524,0.8801631377993752,3558,0.991849353569421
3,fixmatch,1,23214,8386,11459,0.8989440614364255,6088,0.996550591327201
3,fixmatch,2,21971,32,11465,0.5564762320104666,156,0.1858974358974359
3,fixmatch,3,18169,8,11478,0.48065865133298485,53,0.11320754716981132
3,fixmatch,4,9749,7,11424,0.32965686274509803,65,0.1076923076923077
3,fixmatch,5,3912,2,11432,0.1717109867039888,22,0.09090909090909091
3,fixmatch,6,3914,39,11464,0.23761339846475923,63,0.5555555555555556
3,fixmatch,7,2244,3,11493,0.14582789524058123,38,0.07894736842105263
3,fixmatch,8,2,0,11450,0.00017467248908296942,1691,0.0
3,fixmatch,9,61,0,11499,0.003304635185668319,2149,0.0
