epoch,model,class,pseudo_hist,accepted_hist,true_count,pseudo_acc,accepted_true_count,accepted_pseudo_acc
3,minor,6,16461,7628,11444,0.6856868227892345,5637,0.9361362426822778
3,minor,7,10404,5161,11464,0.45786810886252616,4791,0.7349196409935296
3,minor,8,10547,6029,11520,0.5387152777777777,5330,0.8215759849906191
3,minor,9,7276,3943,11487,0.3738138765561069,4725,0.5817989417989418
4,major,0,31756,6640,11440,0.9098776223776224,4984,0.9622792937399679
4,major,1,19949,11220,11470,0.914821272885789,8339,0.9935244034056842
4,major,2,20556,6571,11485,0.6033957335655202,4213,0.8680275338238784
4,major,3,17355,4107,11469,0.5194001220681838,2903,0.7144333448157079
4,major,4,10613,3271,11457,0.41127694859038144,3087,0.626498218334953
4,major,5,4624,1269,11428,0.2464123206160308,2628,0.3687214611872146
4,major,6,4853,1940,11487,0.33080874031513885,3096,0.5568475452196382
4,major,7,3751,1358,11452,0.26659098847362905,2710,0.46752767527675276
4,major,8,566,181,11470,0.043243243243243246,1790,0.09497206703910614
4,major,9,665,167,11530,0.05351257588898525,2974,0.05447209145931405
4,minor,0,6612,2850,11440,0.3833041958041958,4983,0.4497290788681517
4,minor,1,13631,7503,11470,0.7369659982563208,7013,0.8267503208327392
4,minor,2,5277,1014,11485,0.2411841532433609,4043,0.1860004946821667
4,minor,3,6872,1254,11469,0.23515563693434474,4764,0.14441645675902604
4,minor,4,17479,8054,11457,0.5579121934188706,6460,0.6476780185758514
4,minor,5,19105,10824,11428,0.6441197059852992,6926,0.8055154490326306
4,minor,6,15989,10605,11487,0.7117611212675198,7868,0.8638790035587188
4,minor,7,11088,7320,11452,0.5097799511002445,7291,0.6525853792346729
4,minor,8,10521,7573,11470,0.5666957279860506,6893,0.7748440446830117
4,minor,9,8114,5645,11530,0.4414570685169124,6401,0.6206842680831121
5,major,0,29902,6219,11500,0.9154782608695652,5202,0.9284890426758939
5,major,1,19056,10700,11433,0.9309017755619697,8671,0.9882366509053165
5,major,2,19566,11786,11457,0.6424893078467313,6842,0.8528208126278866
5,major,3,16786,9354,11492,0.5632613992342499,6179,0.7219614824405244
5,major,4,11484,6749,11450,0.49013100436681223,6067,0.6489203889896159
5,major,5,5134,2974,11508,0.3000521376433785,6028,0.38321167883211676
5,major,6,5314,3452,11453,0.37902732908408276,5944,0.5092530282637954
5,major,7,4495,3071,11482,0.3272078035185508,5757,0.477853048462741
5,major,8,1203,835,11491,0.09537899225480811,2216,0.3592057761732852
5,major,9,1748,1033,11422,0.1413938014358256,3267,0.3042546678910315
5,minor,0,5145,3069,11500,0.3418260869565217,6933,0.36780614452617916
5,minor,1,10102,6789,11433,0.6730516924691682,8197,0.7053800170794193
5,minor,2,5973,2982,11457,0.29868202845422015,6793,0.3104666568526424
5,minor,3,9066,4686,11492,0.3386703793943613,7523,0.33151668217466435
5,minor,4,17586,12300,11450,0.6128384279475982,8803,0.67908667499716
5,minor,5,16889,12806,11508,0.6562391379909628,9006,0.7451698867421719
5,minor,6,14417,11751,11453,0.7136994673884571,9323,0.8054274375201116
5,minor,7,10809,8662,11482,0.5459850200313534,9257,0.6209355082640164
5,minor,8,11952,9955,11491,0.6458097641632582,8704,0.7707950367647058
5,minor,9,12749,10515,11422,0.6776396427946069,8976,0.7866532976827094
6,major,0,28526,5942,11428,0.9327091354567728,5280,0.928030303030303
6,major,1,18205,10239,11458,0.9457147844300925,8838,0.9880063362751754
6,major,2,18678,13627,11459,0.6867964045728249,8173,0.8481585709041968
6,major,3,17118,12484,11431,0.6044965444842971,7841,0.7371508736130595
6,major,4,11643,8693,11473,0.5363026235509457,7666,0.6744064701278372
6,major,5,5756,4441,11478,0.34474647151071613,8147,0.4122990057689947
6,major,6,5795,4553,11501,0.425006521172072,7609,0.5271389144434223
6,major,7,4443,3638,11500,0.3443478260869565,7191,0.4658601029064108
6,major,8,1784,1576,11457,0.14942829711093655,2766,0.5553145336225597
6,major,9,2740,2299,11503,0.22672346344431887,3981,0.5584024114544084
6,minor,0,5048,3315,11428,0.3554427721386069,7849,0.3637406038985858
6,minor,1,9745,6592,11458,0.7086751614592425,8624,0.6992115027829313
6,minor,2,7378,5109,11459,0.37114931494894843,8514,0.3987549917782476
6,minor,3,10180,7215,11431,0.39891523051351585,8936,0.408012533572068
6,minor,4,16694,13637,11473,0.6584154100932624,9960,0.702008032128514
6,minor,5,14998,12836,11478,0.6353023174769123,9922,0.692703084055634
6,minor,6,13441,12062,11501,0.7185462133727502,10199,0.7779194038631239
6,minor,7,10267,9063,11500,0.5739130434782609,10149,0.6215390678884619
6,minor,8,12453,11098,11457,0.6938116435367024,9520,0.7877100840336134
6,minor,9,14484,12929,11503,0.7846648700339042,10183,0.8538741038986546
7,major,0,26908,5632,11461,0.9374400139603875,5215,0.922914669223394
