epoch,mode,epoch_time_sec,peak_allocated_mb,peak_reserved_mb,param_count_m,param_count_major_m,param_count_minor_m,train_loss,train_loss_x,train_loss_u,mask,mask_major,mask_minor,test_acc,test_acc_major,test_acc_minor,test_acc_ensemble,test_acc_final,macro_f1,macro_f1_major,macro_f1_minor,macro_f1_ensemble,macro_f1_final,pseudo_pred_js,pseudo_pred_l1,pseudo_agreement_rate,pseudo_accepted_js,pseudo_accepted_agreement_rate
32,dual_sampler_weighted_ce,228.05175518989563,3431.73828125,3862.0,2.93522,1.46761,1.46761,0.8860739186638966,0.04231111837634671,0.8437628003302962,,0.7658691753167659,0.8508213984314352,,81.41,84.63,84.44,84.44,,81.5926194190979,84.80597734451294,84.59960222244263,84.59960222244263,0.015370524488389492,0.2871965765953064,0.7987845284598214,0.008440036326646805,0.9254226092912885
33,dual_sampler_weighted_ce,228.08431720733643,3431.73828125,3862.0,2.93522,1.46761,1.46761,0.8642233029240742,0.0397223093714274,0.8245009948732331,,0.7685808802489191,0.8511701715178788,,81.49,84.92,84.61,84.61,,81.68899416923523,85.09734272956848,84.76940393447876,84.76940393447876,0.014552121981978416,0.2784423828125,0.8060477120535714,0.007663813419640064,0.9307297119622118
34,dual_sampler_weighted_ce,228.27006125450134,3431.73828125,3862.0,2.93522,1.46761,1.46761,0.8386590080335736,0.0306699967759414,0.8079890118679032,,0.7713100218679756,0.8542480868054554,,81.91,85.18,84.84,84.84,,82.09481239318848,85.34564971923828,84.97416377067566,84.97416377067566,0.01409731525927782,0.2659912109375,0.8135027204241071,0.007128256373107433,0.9362571473471707
35,dual_sampler_weighted_ce,228.14435267448425,3431.73828125,3862.0,2.93522,1.46761,1.46761,0.8293610643595457,0.03256285981797191,0.796798204886727,,0.7717983048642054,0.8534546287264675,,82.11,85.28,85.15,85.15,,82.28217363357544,85.44493913650513,85.28100848197937,85.28100848197937,0.014034299179911613,0.2668631374835968,0.81353759765625,0.007281580939888954,0.9345576604967339
36,dual_sampler_weighted_ce,228.07852149009705,3431.73828125,3862.0,2.93522,1.46761,1.46761,0.8151707802899182,0.028452181532884424,0.7867185981012881,,0.7733329003676772,0.8516584526514634,,82.18,85.27,85.31,85.31,,82.3611855506897,85.43469309806824,85.4421317577362,85.4421317577362,0.013175243511795998,0.256923109292984,0.8195016043526786,0.006977646611630917,0.9390966933384749
37,dual_sampler_weighted_ce,228.45292687416077,3431.73828125,3862.0,2.93522,1.46761,1.46761,0.8010485812555999,0.029558917728081724,0.7714896630495787,,0.7761928363470361,0.8523211188148707,,82.49,85.65,85.52,85.52,,82.69027471542358,85.8033537864685,85.63956022262573,85.63956022262573,0.012502819299697876,0.2528250515460968,0.8241053989955357,0.006500317249447107,0.940675931926742
38,dual_sampler_weighted_ce,228.0429961681366,3431.73828125,3862.0,2.93522,1.46761,1.46761,0.7944601200870238,0.027310498990118504,0.76714962098049,,0.7717983037000522,0.8524955053580925,,82.5,85.85,85.69,85.69,,82.70772695541382,85.98782420158386,85.81172227859497,85.81172227859497,0.01450938917696476,0.2721470594406128,0.8148978097098214,0.007895421236753464,0.937573288524075
39,dual_sampler_weighted_ce,228.02070474624634,3431.73828125,3862.0,2.93522,1.46761,1.46761,0.777930258307606,0.02506717152436977,0.7528630883898586,,0.7782854697434232,0.8541434542275965,,83.05,85.89,85.97,85.97,,83.22945833206177,86.03783845901489,86.1064612865448,86.1064612865448,0.011683063581585884,0.2465122640132904,0.8306100027901786,0.005852352827787399,0.9437592266298395
40,dual_sampler_weighted_ce,227.9265694618225,3431.73828125,3862.0,2.93522,1.46761,1.46761,0.751992326695472,0.02239311583844028,0.7295992115978152,,0.7814418597845361,0.8562012116890401,,83.2,86.12,86.12,86.12,,83.38160514831543,86.25991940498352,86.25701069831848,86.25701069831848,0.01094841305166483,0.2388218641281128,0.8376726422991071,0.005266591906547546,0.9471573093533692
41,dual_sampler_weighted_ce,227.77903032302856,3431.73828125,3862.0,2.93522,1.46761,1.46761,0.7453568544005975,0.019844107112930942,0.7255127475364134,,0.7840576516464353,0.8569161944324151,,83.49,86.41,86.34,86.34,,83.68757963180542,86.5441620349884,86.46162152290344,86.46162152290344,0.010434860363602638,0.2304512858390808,0.8412824358258929,0.004868105053901672,0.9479162986775944
42,dual_sampler_weighted_ce,227.9412009716034,3431.73828125,3862.0,2.93522,1.46761,1.46761,0.7229417999042198,0.01785256580319583,0.7050892335246317,,0.7813808242790401,0.8557739657117054,,83.67,86.45,86.65,86.65,,83.86073112487793,86.58136129379272,86.7585837841034,86.7585837841034,0.010503367520868778,0.2309918999671936,0.8423549107142857,0.004882145207375288,0.9514247556464289
43,dual_sampler_weighted_ce,228.23888850212097,3431.73828125,3862.0,2.93522,1.46761,1.46761,0.7073465388384648,0.014938445712459725,0.6924080919125117,,0.7869960595853627,0.8547189286909997,,84.06,86.88,87.05,87.05,,84.23552513122559,87.0112419128418,87.16815114021301,87.16815114021301,0.009104038588702679,0.2158203274011612,0.8530360630580357,0.004458393435925245,0.9543884302359623
44,dual_sampler_weighted_ce,228.58164715766907,3431.73828125,3862.0,2.93522,1.46761,1.46761,0.7070119688869454,0.018385842230031813,0.6886261260369793,,0.783857106231153,0.8560181054053828,,84.41,87.01,87.18,87.18,,84.55994725227356,87.13623285293579,87.29379773139954,87.29379773139954,0.009584777057170868,0.2199009656906128,0.8501761300223214,0.00459042564034462,0.9535372512182234
45,dual_sampler_weighted_ce,228.1009395122528,3431.73828125,3862.0,2.93522,1.46761,1.46761,0.6830276576802135,0.014219494864164517,0.6688081623869948,,0.7883039527805522,0.8571690550306812,,84.6,87.21,87.24,87.24,,84.7471535205841,87.34418749809265,87.35352754592896,87.35352754592896,0.00887509249150753,0.2104492038488388,0.8573957170758929,0.0041610244661569595,0.9573773549710874
46,dual_sampler_weighted_ce,227.98166179656982,3431.73828125,3862.0,2.93522,1.46761,1.46761,0.6573996167280711,0.010143989887637872,0.6472556270309724,,0.7883649888681248,0.8547450872138143,,84.9,87.4,87.37,87.37,,85.03550291061401,87.52173185348511,87.48718500137329,87.48718500137329,0.00884905643761158,0.2101353108882904,0.8593226841517857,0.004390755668282509,0.9577344942942733
47,dual_sampler_weighted_ce,228.06242847442627,3431.73828125,3862.0,2.93522,1.46761,1.46761,0.6423000658396631,0.010876265245883587,0.6314238001359627,,0.7882080401759595,0.8544486305909231,,85.08,87.57,87.59,87.59,,85.22319793701172,87.69146800041199,87.70389556884766,87.70389556884766,0.008230630308389664,0.2035958170890808,0.8637172154017857,0.003950382582843304,0.9604995170094154
48,dual_sampler_weighted_ce,228.1864800453186,3431.73828125,3862.0,2.93522,1.46761,1.46761,0.6304361096699722,0.00944986714296192,0.620986242487561,,0.7927769606467336,0.8568028444424272,,85.13,87.73,87.78,87.78,,85.2734923362732,87.84440755844116,87.88532018661499,87.88532018661499,0.007903600111603737,0.1987304985523224,0.8684866768973214,0.003748748917132616,0.9618908956448389
49,dual_sampler_weighted_ce,228.0802662372589,3431.73828125,3862.0,2.93522,1.46761,1.46761,0.615968119353056,0.008126655401497374,0.6078414639341645,,0.7912685194751248,0.8580235471017659,,85.12,87.93,87.87,87.87,,85.27177572250366,88.05195689201355,87.9800796508789,87.9800796508789,0.008233124390244484,0.2059849500656128,0.86688232421875,0.003945327363908291,0.9626699972245351
50,dual_sampler_weighted_ce,228.0738377571106,3431.73828125,3862.0,2.93522,1.46761,1.46761,0.6001473172800615,0.007128136057758638,0.5930191816296428,,0.7962385240243748,0.859008829575032,,85.41,88.09,87.95,87.95,,85.55285334587097,88.20222616195679,88.05133700370789,88.05133700370789,0.007230840623378754,0.1874825656414032,0.8749825613839286,0.003304362529888749,0.9656224199614715
